IDLibro,Titolo,Autori,Casa_Editrice,Luogo_stampa,Anno_Pubblicazione,ISBN,Lingua,Genere,Data_Cat,Volumi,Numero
57HS23,Siddharta,"Hesse Hermann","Adelphi Editore",Milano,1973,8481304484,Italiano,Narrativa,2023-03-01,Unico,57
58HL23,"La città è nostra","Heym Stefan","Riuniti Editori",,1957,,Italiano,Giallo/Thriller,2023-03-01,Unico,58
59EL23,"L'uomo che sussurrava ai cavalli","Evans Nicholas ","Libri & Grandi Opere",Milano,1995,,Italiano,Narrativa,2023-02-15,Unico,59
60DI23,"I demoni",Dostoevskij,Mondadori,Milano,1987,8804301678,italiano,Narrativa,2023-02-15,Unico,60
61DI23,"I demoni",Dostoevskij,Mondadori,Milano,1987,8804301678,italiano,Narrativa,2023-02-15,Unico,61
63HS23,"Saggio su pan","Hillman James","Adelphi Editore",Milano,1994,8845903362,Italiano,Saggio,2023-03-01,Unico,63
64DU23,"Umiliati e offesi",Dostoevskij,Mondadori,Milano,1987,8804516038,italiano,Narrativa,2023-02-15,Unico,64
65HD23,"Dottore in Cina","Horn J. S.","Loganesi & C. Editore",Milano,1969,,Italiano,Realistico,2023-02-15,Unico,65
66EN23,"Nel fuoco","Evans Nicholas ",Rizzoli,Milano,2001,8817117544,Italiano,Narrativa,2023-02-15,Unico,66
67DP23,"Povera gente",Dostoevskij,Sonzogno,Milano,1977,,italiano,Narrativa,2023-02-15,Unico,67
68HM23,"Mille splendidi soli","Hosseini Khaled",Mondadori,Milano,2018,8868367312,Italiano,Narrativa,2023-02-15,Unico,68
69HM23,"Mille splendidi soli","Hosseini Khaled",Mondadori,Milano,2018,8868367312,Italiano,Narrativa,2023-02-15,Unico,69
70EC23,"Crimine e personalità","Eysenk H.J.","Armando editore",Roma,1979,,Italiano,Narrativa,2023-02-15,Unico,70
71HI23,"Inserzioni per una casa in cui non voglio più abitare","Hrabal Bohumil ",Einaudi,Torino,1968,,Italiano,Storico,2023-03-01,Unico,71
72DL23,"Le notti bianche","Dostoevskij Fëdor ",Feltrinelli,Milano,2015,9788807901874,italiano,Narrativa,2023-02-15,Unico,72
73HL23,"Le origini di Cathleen","Hutchinson R. C.","Club degli editori",Milano,1975,,Italiano,Storico,2023-03-01,Unico,73
74Dr23,"ricordi dal sottosuolo","Dostoevskij Fëdor","rizzoli editore",Milano,1974,,italiano,Narrativa,2023-02-15,Unico,74
75HF23,"Foglie secche","Huxley Aldous","Giulio Einaudi Editore",,1957,,Italiano,Umoristico,2023-03-01,Unico,75
78MM23,"Mio fratello rincorre i dinosauri ","Mazzariol Giacomo","Giulio Enaudi ",Torino,2016,9788806229528,Italiani,Realistico,2023-02-21,Unico,78
81SG23,Ginster,"Siegtred Kracauer",Marietti,Torino,1984,,Italiano,Realistico,2023-03-01,Unico,81
83Wl23,"le affinità selettive","Wolfgang Goethe",Rizzoli,Torino,1978,,Italiano,Realistico,2023-03-01,Unico,83
84DI23,"I quaderni","Dolgorouki Varvàra",Rusconi,Milano,1976,,Italiano,Storico,2023-02-21,Unico,84
85DL23,"La fiera mondiale","Doctorow E.L.","Mondadori editore",Milano,1986,,Italiano,Autobiografia,2023-02-21,Unico,85
86MS23,"Selezione del libro","Michener,Stanton","Reader's Digest",Milano,1972,,Italiano,Raccolta,2023-02-21,1°,86
87AS23,"Selezione del libro","AA VV","Reader's Digest",Milano,1972,,Italiano,Raccolta,2023-02-21,1°,87
88AS23,"Selezione del libro","AA VV","Reader's Digest",Milano,1966,,Italiano,Raccolta,2023-02-21,2°,88
89AS23,"Selezione del libro","AA VV","Reader's Digest",Milano,1966,,Italiano,Realistico,2023-02-21,3°,89
90DI23,"Il dubbio","De Crescenzo Luciano","Mondadori editore",Milano,1992,,Italiano,Saggio,2023-02-21,Unico,90
91DN23,"Nessuno torna indietro","De Cèspedes Alba","Mondadori editore",Verona,1939,,Italiano,Narrativa,2023-02-21,Unico,91
92DO23,"Ordine e disordine","De Crescenzo Luciano","Mondadori editore",Milano,1996,8804415983,Italiano,Saggio,2023-02-21,Unico,92
93DT23,"Tale e quale","De Crescenzo Luciano","Mondadori editore",Milano,2001,8804490012,Italiano,Narrativa,2023-02-21,Unico,93
94DI23,"In alto a sinistra","De Luca Erri",Feltrinelli,Milano,2001,8807813483,Italiano,Narrativa,2023-02-21,Unico,94
95DI23,"Introduzione a Vittorini","De Nicola Francesco","Laterza editori",Bari,1993,8842042412,Italiano,Storico,2023-02-21,Unico,95
96DA23,"Altre prove di risposta","De Luca Erri","Libreria Dante & Descartes",Napoli,2000,8888142002,Italiano,Narrativa,2023-02-21,Unico,96
97DL23,"L'ultima arca","Di Cillo Romano","Progetto Cultura",Roma,2006,9788860920973,Italiano,Fantascienza,2023-02-21,Unico,97
98DA23,"A Christmas Carol","Dickens Charles ","Oxford University Press","Hong Kong",1994,0195852583,Inglese,Fiaba,2023-02-21,Unico,98
99DD23,"David Copperfield","Dickens Charles ",Garzanti,Italia,1982,8811519853,Italiano,Autobiografia,2023-02-21,Unico,99
100DL23,"Le cento pagine più belle","Dickens Charles ","Fannucci editore",Roma,2002,,Italiano,Raccolta,2023-02-21,Unico,100
101DN23,"Noi marziani","Dick Philip K.","Fannucci editore",Roma,2002,8834708806,Italiano,Fantascienza,2023-02-21,Unico,101
102DA23,"Avviamento alla etimologia italiana","Devoto Giacomo ","Oscar Studio Mondadori",Milano,1979,,Italiano,Saggio,2023-02-21,Unico,102
103DL23,"Lo scomunicatore","Dèry Tibor",Feltrinelli,Milano,1969,,Italiano,Autobiografico,2023-03-01,Unico,103
104AS23,"Selezione del libro","AA VV","Reader's Digest",Milano,1960,,Italiano,Raccolta,2023-02-21,Unico,104
105AI23,"I libri più belli di selezione","AA VV","Reader's Digest",Milano,1960,,Italiano,Raccolta,2023-02-21,Unico,105
106BS23,"Scusate signori del Palazzo","Bertuzzi Alberto",Euroclub,Milano,1979,,Italiano,Narrativa,2023-03-01,Unico,106
107BL23,"L'amore stregone","Bevilacqua Alberto","Arnoldo Mondadori Editore",Milano,2009,9788804602224,Italiano,Narrativa,2023-03-01,Unico,107
108BN23,"Napoli silenzi e grida","Bernari Carlo","Editori Riuniti",Roma,1977,,Italiano,"Storia Locale",2023-03-01,Unico,108
109BI23,"Il Terzo Reich dei sogni","Beradt Charlotte","Giulio Einaudi Editore",Torino,1991,8806125761,Italiano,Storico,2023-03-01,Unico,109
110ID23,"Doveva morire ","Imposimato Ferdinando e Provvisionato Sandro","Chiarelettere Editore",Milano,2008,8861900554,Italiano,Storico,2023-03-01,Unico,110
111II23,"Il mistero dei rovi","Innocenti Aurora","Aletti Editore",Roma,2010,8864984919,Italiano,Narrativa,2023-03-01,Unico,111
112BL23,"La scommessa della pace","Bello Don Tonino","San Paolo",Milano,2014,9788864672311,Italiano,Storico,2023-03-01,Unico,112
113BD23,"Disonora il padre","Biagi Enzo",Mondadori,Italia,1985,,Italiano,Narrativa,2023-03-01,Unico,113
114BR23,"Racconto di un secolo","Biagi Enzo",Rizzoli,Milano,1999,8817860905,Italiano,Storico,2023-03-01,Unico,114
"115 I23","Il mistero di rue des Saints-Pères"," Izner Claude","Nord editore",Milano,2006,8842914428,Italiano,Giallo/Thriller,2023-03-01,Unico,115
116BT23,"Testimone del tempo","Biagi Enzo","Società Editrice Internazionale",Torino,1971,,Italiano,Storico,2023-03-01,Unico,116
117IL23,"La violetta del prater","Isherwood Christopher",Mondadori,Novara,1987,,Italiano,Narrativa,2023-03-01,Unico,117
118BI23,"Ipazia d'Alessandria","Berretta Gemma","Editori Riuniti",Roma,1993,8835937698,Italiano,Storico,2023-03-01,Unico,118
119BL23,"La gloria","Berto Giuseppe","Arnoldo Mondadori Editore",Milano,1978,,Italiano,Narrativa,2023-03-01,Unico,119
121BL23,"L'immagine allo specchio","Bergman Ingmar","Giulio Einaudi Editore",Torino,1977,,Italiano,Dramma,2023-03-01,Unico,121
123BP23,Palestrina,"Bandiera Luigi","Terza Edizione",Roma,2005,,Italiano,Storico,2023-03-01,Unico,123
125BL23,"Lo squalo","Benchley Peter",Mondadori,Novara,1986,,Italiano,Horror,2023-03-01,Unico,125
126BH23,Herzog,"Bellow Saul","La biblioteca della Repubblica",Roma,2005,8481305391,Italiano,Narrativa,2023-03-01,Unico,126
127BI23,"Il pianeta di Mr Sammler","Bellow Saul",Feltrinelli,Milano,1981,,Italiano,Narrativa,2023-03-01,Unico,127
"128 M23","Morte in lista d'attesa"," Heinichen Veit","E/O Edizioni",Roma,2006,8876417486,Italiano,Narrativa,2023-03-01,Unico,128
